	global			Hengduan Mountains			Himalayas-QTP			temperate/boreal East Asia		
Family-Clade					total	sampled	percent	total	sampled	percent	total	sampled	percent	total	sampled	percent
Amaryllidaceae-Allium				800	378	47	34	29	85	37	67	55	89	89	100
Asteraceae-Ligularia				380	75	20	152	60	39	12	19	62	27	18	148
Asteraceae-Saussurea				416	147	35	108	73	68	63	48	130	56	36	157
Campanulaceae-Cyananthus			66	47	71	41	28	68	24	92	26	10	71	14
Crassulaceae-Rhodiola				120	57	48	32	28	88	30	81	37	20	59	34
Ericaceae-Rhododendron				1000	351	35	237	120	51	42	34	124	105	35	300
Lamiaceae-Isodon				100	63	63	55	40	73	9	45	20	24	67	36
Papaveraceae-Meconopsis				54	47	87	25	22	88	34	94	36	2	100	2
Pinaceae-Pinaceae				234	226	97	34	32	94	24	92	26	63	100	63
Polygonaceae-Polygoneae				663	257	39	92	61	66	75	88	85	127	79	160
Polypodiaceae-Microsoroideae			248	147	59	45	42	93	35	92	38	66	83	80
Primulaceae-Primulaceae				900	354	39	205	114	56	68	45	150	55	69	80
Ranunculaceae-Clematidinae+Anemoninae		495	177	36	76	32	42	26	58	45	72	47	152
Ranunculaceae-Delphineae			756	312	41	225	74	33	44	53	83	51	57	90
Ranunculaceae-Thalictrum			150	104	69	38	34	89	25	63	40	32	67	48
Rosaceae-Rosa					175	102	58	49	27	55	20	69	29	35	55	64
Sapindaceae-Acer				129	118	91	45	29	64	15	63	24	72	90	80
Saxifragaceae-Saxifragaceae			760	313	41	209	54	26	45	29	155	102	60	170    
